BGE Tensors Count: 197
position_embd.weight | Float32 | dims=[384,512]
token_embd.weight | Q8_0 | dims=[384,30522]
token_embd_norm.bias | Float32 | dims=[384]
token_embd_norm.weight | Float32 | dims=[384]
token_types.weight | Float32 | dims=[384,2]
blk.0.attn_k.bias | Float32 | dims=[384]
blk.0.attn_k.weight | Q8_0 | dims=[384,384]
blk.0.attn_output.bias | Float32 | dims=[384]
blk.0.attn_output.weight | Q8_0 | dims=[384,384]
blk.0.attn_output_norm.bias | Float32 | dims=[384]
blk.0.attn_output_norm.weight | Float32 | dims=[384]
blk.0.attn_q.bias | Float32 | dims=[384]
blk.0.attn_q.weight | Q8_0 | dims=[384,384]
blk.0.attn_v.bias | Float32 | dims=[384]
blk.0.attn_v.weight | Q8_0 | dims=[384,384]
blk.0.ffn_down.bias | Float32 | dims=[384]
blk.0.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.0.ffn_up.bias | Float32 | dims=[1536]
blk.0.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.0.layer_output_norm.bias | Float32 | dims=[384]
blk.0.layer_output_norm.weight | Float32 | dims=[384]
blk.1.attn_k.bias | Float32 | dims=[384]
blk.1.attn_k.weight | Q8_0 | dims=[384,384]
blk.1.attn_output.bias | Float32 | dims=[384]
blk.1.attn_output.weight | Q8_0 | dims=[384,384]
blk.1.attn_output_norm.bias | Float32 | dims=[384]
blk.1.attn_output_norm.weight | Float32 | dims=[384]
blk.1.attn_q.bias | Float32 | dims=[384]
blk.1.attn_q.weight | Q8_0 | dims=[384,384]
blk.1.attn_v.bias | Float32 | dims=[384]
blk.1.attn_v.weight | Q8_0 | dims=[384,384]
blk.1.ffn_down.bias | Float32 | dims=[384]
blk.1.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.1.ffn_up.bias | Float32 | dims=[1536]
blk.1.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.1.layer_output_norm.bias | Float32 | dims=[384]
blk.1.layer_output_norm.weight | Float32 | dims=[384]
blk.2.attn_k.bias | Float32 | dims=[384]
blk.2.attn_k.weight | Q8_0 | dims=[384,384]
blk.2.attn_output.bias | Float32 | dims=[384]
blk.2.attn_output.weight | Q8_0 | dims=[384,384]
blk.2.attn_output_norm.bias | Float32 | dims=[384]
blk.2.attn_output_norm.weight | Float32 | dims=[384]
blk.2.attn_q.bias | Float32 | dims=[384]
blk.2.attn_q.weight | Q8_0 | dims=[384,384]
blk.2.attn_v.bias | Float32 | dims=[384]
blk.2.attn_v.weight | Q8_0 | dims=[384,384]
blk.2.ffn_down.bias | Float32 | dims=[384]
blk.2.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.2.ffn_up.bias | Float32 | dims=[1536]
blk.2.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.2.layer_output_norm.bias | Float32 | dims=[384]
blk.2.layer_output_norm.weight | Float32 | dims=[384]
blk.3.attn_k.bias | Float32 | dims=[384]
blk.3.attn_k.weight | Q8_0 | dims=[384,384]
blk.3.attn_output.bias | Float32 | dims=[384]
blk.3.attn_output.weight | Q8_0 | dims=[384,384]
blk.3.attn_output_norm.bias | Float32 | dims=[384]
blk.3.attn_output_norm.weight | Float32 | dims=[384]
blk.3.attn_q.bias | Float32 | dims=[384]
blk.3.attn_q.weight | Q8_0 | dims=[384,384]
blk.3.attn_v.bias | Float32 | dims=[384]
blk.3.attn_v.weight | Q8_0 | dims=[384,384]
blk.3.ffn_down.bias | Float32 | dims=[384]
blk.3.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.3.ffn_up.bias | Float32 | dims=[1536]
blk.3.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.3.layer_output_norm.bias | Float32 | dims=[384]
blk.3.layer_output_norm.weight | Float32 | dims=[384]
blk.4.attn_k.bias | Float32 | dims=[384]
blk.4.attn_k.weight | Q8_0 | dims=[384,384]
blk.4.attn_output.bias | Float32 | dims=[384]
blk.4.attn_output.weight | Q8_0 | dims=[384,384]
blk.4.attn_output_norm.bias | Float32 | dims=[384]
blk.4.attn_output_norm.weight | Float32 | dims=[384]
blk.4.attn_q.bias | Float32 | dims=[384]
