Kokoro Tensors Count: 459
bert.embd.ln.bias | Float32 | dims=[128]
bert.embd.ln.weight | Float32 | dims=[128]
bert.embd.pos.weight | Q8_0 | dims=[128,512]
bert.embd.tt.weight | Q8_0 | dims=[128,2]
bert.embd.tok.weight | Q8_0 | dims=[128,178]
bert.attn_ln.bias | Float32 | dims=[768]
bert.attn_ln.weight | Float32 | dims=[768]
bert.attn_o.bias | Float32 | dims=[768]
bert.attn_o.weight | Q8_0 | dims=[768,768]
bert.attn_k.bias | Float32 | dims=[768]
bert.attn_k.weight | Q8_0 | dims=[768,768]
bert.attn_q.bias | Float32 | dims=[768]
bert.attn_q.weight | Q8_0 | dims=[768,768]
bert.attn_v.bias | Float32 | dims=[768]
bert.attn_v.weight | Q8_0 | dims=[768,768]
bert.ffn_up.bias | Float32 | dims=[2048]
bert.ffn_up.weight | Q8_0 | dims=[768,2048]
bert.ffn_down.bias | Float32 | dims=[768]
bert.ffn_down.weight | Q8_0 | dims=[2048,768]
bert.ffn_ln.bias | Float32 | dims=[768]
bert.ffn_ln.weight | Float32 | dims=[768]
bert.embd_proj.bias | Float32 | dims=[768]
bert.embd_proj.weight | Q8_0 | dims=[128,768]
bert.pooler.bias | Float32 | dims=[768]
bert.pooler.weight | Q8_0 | dims=[768,768]
bert_proj.bias | Float32 | dims=[512]
bert_proj.weight | Q8_0 | dims=[768,512]
pred.F0.0.conv1.bias | Float32 | dims=[512]
pred.F0.0.conv1.weight | Float16 | dims=[3,512,512]
pred.F0.0.conv2.bias | Float32 | dims=[512]
pred.F0.0.conv2.weight | Float16 | dims=[3,512,512]
pred.F0.0.adain1.bias | Float32 | dims=[1024]
pred.F0.0.adain1.weight | Q8_0 | dims=[128,1024]
pred.F0.0.adain2.bias | Float32 | dims=[1024]
pred.F0.0.adain2.weight | Q8_0 | dims=[128,1024]
pred.F0.1.conv1.bias | Float32 | dims=[256]
pred.F0.1.conv1.weight | Float16 | dims=[3,512,256]
pred.F0.1.conv1x1.weight | Float16 | dims=[1,512,256]
pred.F0.1.conv2.bias | Float32 | dims=[256]
pred.F0.1.conv2.weight | Float16 | dims=[3,256,256]
pred.F0.1.adain1.bias | Float32 | dims=[1024]
pred.F0.1.adain1.weight | Q8_0 | dims=[128,1024]
pred.F0.1.adain2.bias | Float32 | dims=[512]
pred.F0.1.adain2.weight | Q8_0 | dims=[128,512]
pred.F0.1.pool.bias | Float32 | dims=[512]
pred.F0.1.pool.weight | Float16 | dims=[3,1,512]
pred.F0.2.conv1.bias | Float32 | dims=[256]
pred.F0.2.conv1.weight | Float16 | dims=[3,256,256]
pred.F0.2.conv2.bias | Float32 | dims=[256]
pred.F0.2.conv2.weight | Float16 | dims=[3,256,256]
pred.F0.2.adain1.bias | Float32 | dims=[512]
pred.F0.2.adain1.weight | Q8_0 | dims=[128,512]
pred.F0.2.adain2.bias | Float32 | dims=[512]
pred.F0.2.adain2.weight | Q8_0 | dims=[128,512]
pred.F0_proj.bias | Float32 | dims=[1]
pred.F0_proj.weight | Float16 | dims=[1,256]
pred.N.0.conv1.bias | Float32 | dims=[512]
pred.N.0.conv1.weight | Float16 | dims=[3,512,512]
pred.N.0.conv2.bias | Float32 | dims=[512]
pred.N.0.conv2.weight | Float16 | dims=[3,512,512]
pred.N.0.adain1.bias | Float32 | dims=[1024]
pred.N.0.adain1.weight | Q8_0 | dims=[128,1024]
pred.N.0.adain2.bias | Float32 | dims=[1024]
pred.N.0.adain2.weight | Q8_0 | dims=[128,1024]
pred.N.1.conv1.bias | Float32 | dims=[256]
pred.N.1.conv1.weight | Float16 | dims=[3,512,256]
pred.N.1.conv1x1.weight | Float16 | dims=[1,512,256]
pred.N.1.conv2.bias | Float32 | dims=[256]
pred.N.1.conv2.weight | Float16 | dims=[3,256,256]
pred.N.1.adain1.bias | Float32 | dims=[1024]
pred.N.1.adain1.weight | Q8_0 | dims=[128,1024]
pred.N.1.adain2.bias | Float32 | dims=[512]
pred.N.1.adain2.weight | Q8_0 | dims=[128,512]
pred.N.1.pool.bias | Float32 | dims=[512]
pred.N.1.pool.weight | Float16 | dims=[3,1,512]
pred.N.2.conv1.bias | Float32 | dims=[256]
pred.N.2.conv1.weight | Float16 | dims=[3,256,256]
pred.N.2.conv2.bias | Float32 | dims=[256]
pred.N.2.conv2.weight | Float16 | dims=[3,256,256]
pred.N.2.adain1.bias | Float32 | dims=[512]
pred.N.2.adain1.weight | Q8_0 | dims=[128,512]
pred.N.2.adain2.bias | Float32 | dims=[512]
pred.N.2.adain2.weight | Q8_0 | dims=[128,512]
pred.N_proj.bias | Float32 | dims=[1]
pred.N_proj.weight | Float16 | dims=[1,256]
pred.dur_proj.bias | Float32 | dims=[50]
pred.dur_proj.weight | Q8_0 | dims=[512,50]
pred.lstm.bias_hh_l0 | Float32 | dims=[1024]
pred.lstm.bias_hh_l0_reverse | Float32 | dims=[1024]
pred.lstm.bias_ih_l0 | Float32 | dims=[1024]
pred.lstm.bias_ih_l0_reverse | Float32 | dims=[1024]
pred.lstm.weight_hh_l0 | Q8_0 | dims=[256,1024]
pred.lstm.weight_hh_l0_reverse | Q8_0 | dims=[256,1024]
pred.lstm.weight_ih_l0 | Q8_0 | dims=[640,1024]
pred.lstm.weight_ih_l0_reverse | Q8_0 | dims=[640,1024]
pred.shared.bias_hh_l0 | Float32 | dims=[1024]
pred.shared.bias_hh_l0_reverse | Float32 | dims=[1024]
pred.shared.bias_ih_l0 | Float32 | dims=[1024]
pred.shared.bias_ih_l0_reverse | Float32 | dims=[1024]
pred.shared.weight_hh_l0 | Q8_0 | dims=[256,1024]
pred.shared.weight_hh_l0_reverse | Q8_0 | dims=[256,1024]
pred.shared.weight_ih_l0 | Q8_0 | dims=[640,1024]
pred.shared.weight_ih_l0_reverse | Q8_0 | dims=[640,1024]
pred.dur_enc.0.lstm.bias_hh_l0 | Float32 | dims=[1024]
pred.dur_enc.0.lstm.bias_hh_l0_reverse | Float32 | dims=[1024]
pred.dur_enc.0.lstm.bias_ih_l0 | Float32 | dims=[1024]
pred.dur_enc.0.lstm.bias_ih_l0_reverse | Float32 | dims=[1024]
pred.dur_enc.0.lstm.weight_hh_l0 | Q8_0 | dims=[256,1024]
pred.dur_enc.0.lstm.weight_hh_l0_reverse | Q8_0 | dims=[256,1024]
pred.dur_enc.0.lstm.weight_ih_l0 | Q8_0 | dims=[640,1024]
pred.dur_enc.0.lstm.weight_ih_l0_reverse | Q8_0 | dims=[640,1024]
pred.dur_enc.0.adaln.bias | Float32 | dims=[1024]
pred.dur_enc.0.adaln.weight | Q8_0 | dims=[128,1024]
pred.dur_enc.1.lstm.bias_hh_l0 | Float32 | dims=[1024]
pred.dur_enc.1.lstm.bias_hh_l0_reverse | Float32 | dims=[1024]
pred.dur_enc.1.lstm.bias_ih_l0 | Float32 | dims=[1024]
pred.dur_enc.1.lstm.bias_ih_l0_reverse | Float32 | dims=[1024]
pred.dur_enc.1.lstm.weight_hh_l0 | Q8_0 | dims=[256,1024]
pred.dur_enc.1.lstm.weight_hh_l0_reverse | Q8_0 | dims=[256,1024]
pred.dur_enc.1.lstm.weight_ih_l0 | Q8_0 | dims=[640,1024]
pred.dur_enc.1.lstm.weight_ih_l0_reverse | Q8_0 | dims=[640,1024]
pred.dur_enc.1.adaln.bias | Float32 | dims=[1024]
pred.dur_enc.1.adaln.weight | Q8_0 | dims=[128,1024]
pred.dur_enc.2.lstm.bias_hh_l0 | Float32 | dims=[1024]
pred.dur_enc.2.lstm.bias_hh_l0_reverse | Float32 | dims=[1024]
pred.dur_enc.2.lstm.bias_ih_l0 | Float32 | dims=[1024]
pred.dur_enc.2.lstm.bias_ih_l0_reverse | Float32 | dims=[1024]
pred.dur_enc.2.lstm.weight_hh_l0 | Q8_0 | dims=[256,1024]
pred.dur_enc.2.lstm.weight_hh_l0_reverse | Q8_0 | dims=[256,1024]
pred.dur_enc.2.lstm.weight_ih_l0 | Q8_0 | dims=[640,1024]
pred.dur_enc.2.lstm.weight_ih_l0_reverse | Q8_0 | dims=[640,1024]
pred.dur_enc.2.adaln.bias | Float32 | dims=[1024]
pred.dur_enc.2.adaln.weight | Q8_0 | dims=[128,1024]
dec.F0_conv.bias | Float32 | dims=[1]
dec.F0_conv.weight | Float16 | dims=[3]
dec.N_conv.bias | Float32 | dims=[1]
dec.N_conv.weight | Float16 | dims=[3]
dec.asr_res.bias | Float32 | dims=[64]
dec.asr_res.weight | Float16 | dims=[1,512,64]
dec.decode.0.conv1.bias | Float32 | dims=[1024]
dec.decode.0.conv1.weight | Float16 | dims=[3,1090,1024]
dec.decode.0.conv1x1.weight | Float16 | dims=[1,1090,1024]
dec.decode.0.conv2.bias | Float32 | dims=[1024]
dec.decode.0.conv2.weight | Float16 | dims=[3,1024,1024]
dec.decode.0.adain1.bias | Float32 | dims=[2180]
dec.decode.0.adain1.weight | Q8_0 | dims=[128,2180]
dec.decode.0.adain2.bias | Float32 | dims=[2048]
dec.decode.0.adain2.weight | Q8_0 | dims=[128,2048]
dec.decode.1.conv1.bias | Float32 | dims=[1024]
dec.decode.1.conv1.weight | Float16 | dims=[3,1090,1024]
dec.decode.1.conv1x1.weight | Float16 | dims=[1,1090,1024]
dec.decode.1.conv2.bias | Float32 | dims=[1024]
dec.decode.1.conv2.weight | Float16 | dims=[3,1024,1024]
dec.decode.1.adain1.bias | Float32 | dims=[2180]
dec.decode.1.adain1.weight | Q8_0 | dims=[128,2180]
dec.decode.1.adain2.bias | Float32 | dims=[2048]
dec.decode.1.adain2.weight | Q8_0 | dims=[128,2048]
dec.decode.2.conv1.bias | Float32 | dims=[1024]
dec.decode.2.conv1.weight | Float16 | dims=[3,1090,1024]
dec.decode.2.conv1x1.weight | Float16 | dims=[1,1090,1024]
dec.decode.2.conv2.bias | Float32 | dims=[1024]
dec.decode.2.conv2.weight | Float16 | dims=[3,1024,1024]
dec.decode.2.adain1.bias | Float32 | dims=[2180]
dec.decode.2.adain1.weight | Q8_0 | dims=[128,2180]
dec.decode.2.adain2.bias | Float32 | dims=[2048]
dec.decode.2.adain2.weight | Q8_0 | dims=[128,2048]
dec.decode.3.conv1.bias | Float32 | dims=[512]
dec.decode.3.conv1.weight | Float16 | dims=[3,1090,512]
dec.decode.3.conv1x1.weight | Float16 | dims=[1,1090,512]
dec.decode.3.conv2.bias | Float32 | dims=[512]
dec.decode.3.conv2.weight | Float16 | dims=[3,512,512]
dec.decode.3.adain1.bias | Float32 | dims=[2180]
dec.decode.3.adain1.weight | Q8_0 | dims=[128,2180]
dec.decode.3.adain2.bias | Float32 | dims=[1024]
dec.decode.3.adain2.weight | Q8_0 | dims=[128,1024]
dec.decode.3.pool.bias | Float32 | dims=[1090]
dec.decode.3.pool.weight | Float16 | dims=[3,1,1090]
dec.encode.conv1.bias | Float32 | dims=[1024]
dec.encode.conv1.weight | Float16 | dims=[3,514,1024]
dec.encode.conv1x1.weight | Float16 | dims=[1,514,1024]
dec.encode.conv2.bias | Float32 | dims=[1024]
dec.encode.conv2.weight | Float16 | dims=[3,1024,1024]
dec.encode.adain1.bias | Float32 | dims=[1028]
dec.encode.adain1.weight | Q8_0 | dims=[128,1028]
dec.encode.adain2.bias | Float32 | dims=[2048]
dec.encode.adain2.weight | Q8_0 | dims=[128,2048]
dec.gen.conv_post.bias | Float32 | dims=[22]
dec.gen.conv_post.weight | Float16 | dims=[7,128,22]
dec.gen.m_source.bias | Float32 | dims=[1]
dec.gen.m_source.weight | Float16 | dims=[9]
dec.gen.noise_convs.0.bias | Float32 | dims=[256]
dec.gen.noise_convs.0.weight | Float16 | dims=[12,22,256]
dec.gen.noise_convs.1.bias | Float32 | dims=[128]
dec.gen.noise_convs.1.weight | Float16 | dims=[1,22,128]
dec.gen.noise_res.0.adain1.0.bias | Float32 | dims=[512]
dec.gen.noise_res.0.adain1.0.weight | Q8_0 | dims=[128,512]
dec.gen.noise_res.0.adain1.1.bias | Float32 | dims=[512]
dec.gen.noise_res.0.adain1.1.weight | Q8_0 | dims=[128,512]
dec.gen.noise_res.0.adain1.2.bias | Float32 | dims=[512]
dec.gen.noise_res.0.adain1.2.weight | Q8_0 | dims=[128,512]
dec.gen.noise_res.0.adain2.0.bias | Float32 | dims=[512]
dec.gen.noise_res.0.adain2.0.weight | Q8_0 | dims=[128,512]
dec.gen.noise_res.0.adain2.1.bias | Float32 | dims=[512]
dec.gen.noise_res.0.adain2.1.weight | Q8_0 | dims=[128,512]
dec.gen.noise_res.0.adain2.2.bias | Float32 | dims=[512]
dec.gen.noise_res.0.adain2.2.weight | Q8_0 | dims=[128,512]
dec.gen.noise_res.0.alpha1.0 | Float16 | dims=[1,256]
dec.gen.noise_res.0.alpha1.1 | Float16 | dims=[1,256]
dec.gen.noise_res.0.alpha1.2 | Float16 | dims=[1,256]
dec.gen.noise_res.0.alpha2.0 | Float16 | dims=[1,256]
