Parakeet Metadata (22 entries):
  general.architecture = canary-ctc
  canary_ctc.sample_rate = 16000
  canary_ctc.n_mels = 80
  canary_ctc.n_fft = 512
  canary_ctc.win_length = 400
  canary_ctc.hop_length = 160
  canary_ctc.d_model = 1024
  canary_ctc.n_layers = 24
  canary_ctc.n_heads = 8
  canary_ctc.head_dim = 128
  canary_ctc.ff_dim = 4096
  canary_ctc.subsampling_factor = 8
  canary_ctc.subsampling_channels = 256
  canary_ctc.conv_kernel = 9
  canary_ctc.vocab_size = 1024
  canary_ctc.blank_id = 1024
  canary_ctc.frame_dur_cs = 8
  canary_ctc.xscaling = 1
  tokenizer.ggml.tokens = System.Object[]
  general.quantization_version = 2
  general.file_type = 12
  canary-ctc.vocab_size = 1024

Parakeet Tensors (952):
  ctc.bias | Float32 | dims=[1025]
  ctc.weight | Q4_K | dims=[1024,1025]
  encoder.layers.0.conv.bn.bias | Float32 | dims=[1024]
  encoder.layers.0.conv.bn.running_mean | Float32 | dims=[1024]
  encoder.layers.0.conv.bn.running_var | Float32 | dims=[1024]
  encoder.layers.0.conv.bn.weight | Float32 | dims=[1024]
  encoder.layers.0.conv.dw.bias | Float32 | dims=[1024]
  encoder.layers.0.conv.dw.weight | Float16 | dims=[9,1,1024]
  encoder.layers.0.conv.pw1.bias | Float32 | dims=[2048]
  encoder.layers.0.conv.pw1.weight | Q8_0 | dims=[1024,2048]
  encoder.layers.0.conv.pw2.bias | Float32 | dims=[1024]
  encoder.layers.0.conv.pw2.weight | Q8_0 | dims=[1024,1024]
  encoder.layers.0.ff1.linear1.bias | Float32 | dims=[4096]
  encoder.layers.0.ff1.linear1.weight | Q4_K | dims=[1024,4096]
  encoder.layers.0.ff1.linear2.bias | Float32 | dims=[1024]
  encoder.layers.0.ff1.linear2.weight | Q4_K | dims=[4096,1024]
  encoder.layers.0.ff2.linear1.bias | Float32 | dims=[4096]
  encoder.layers.0.ff2.linear1.weight | Q4_K | dims=[1024,4096]
  encoder.layers.0.ff2.linear2.bias | Float32 | dims=[1024]
  encoder.layers.0.ff2.linear2.weight | Q4_K | dims=[4096,1024]
  encoder.layers.0.norm_conv.bias | Float32 | dims=[1024]
  encoder.layers.0.norm_conv.weight | Float32 | dims=[1024]
  encoder.layers.0.norm_ff1.bias | Float32 | dims=[1024]
  encoder.layers.0.norm_ff1.weight | Float32 | dims=[1024]
  encoder.layers.0.norm_ff2.bias | Float32 | dims=[1024]
  encoder.layers.0.norm_ff2.weight | Float32 | dims=[1024]
  encoder.layers.0.norm_out.bias | Float32 | dims=[1024]
  encoder.layers.0.norm_out.weight | Float32 | dims=[1024]
  encoder.layers.0.norm_attn.bias | Float32 | dims=[1024]
  encoder.layers.0.norm_attn.weight | Float32 | dims=[1024]
