Total tensors: 519
v.blk.0.attn_out.bias | Float32 | [1280]
v.blk.0.attn_out.weight | Float16 | [1280, 1280]
v.blk.0.attn_q.bias | Float32 | [1280]
v.blk.0.attn_k.bias | Float32 | [1280]
v.blk.0.attn_v.bias | Float32 | [1280]
v.blk.0.attn_q.weight | Float16 | [1280, 1280]
v.blk.0.attn_k.weight | Float16 | [1280, 1280]
v.blk.0.attn_v.weight | Float16 | [1280, 1280]
v.blk.0.ffn_down.bias | Float32 | [1280]
v.blk.0.ffn_down.weight | Float16 | [3420, 1280]
v.blk.0.ffn_gate.bias | Float32 | [3420]
v.blk.0.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.0.ffn_up.bias | Float32 | [3420]
v.blk.0.ffn_up.weight | Float16 | [1280, 3420]
v.blk.0.ln1.weight | Float32 | [1280]
v.blk.0.ln2.weight | Float32 | [1280]
v.blk.1.attn_out.bias | Float32 | [1280]
v.blk.1.attn_out.weight | Float16 | [1280, 1280]
v.blk.1.attn_q.bias | Float32 | [1280]
v.blk.1.attn_k.bias | Float32 | [1280]
v.blk.1.attn_v.bias | Float32 | [1280]
v.blk.1.attn_q.weight | Float16 | [1280, 1280]
v.blk.1.attn_k.weight | Float16 | [1280, 1280]
v.blk.1.attn_v.weight | Float16 | [1280, 1280]
v.blk.1.ffn_down.bias | Float32 | [1280]
v.blk.1.ffn_down.weight | Float16 | [3420, 1280]
v.blk.1.ffn_gate.bias | Float32 | [3420]
v.blk.1.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.1.ffn_up.bias | Float32 | [3420]
v.blk.1.ffn_up.weight | Float16 | [1280, 3420]
v.blk.1.ln1.weight | Float32 | [1280]
v.blk.1.ln2.weight | Float32 | [1280]
v.blk.10.attn_out.bias | Float32 | [1280]
v.blk.10.attn_out.weight | Float16 | [1280, 1280]
v.blk.10.attn_q.bias | Float32 | [1280]
v.blk.10.attn_k.bias | Float32 | [1280]
v.blk.10.attn_v.bias | Float32 | [1280]
v.blk.10.attn_q.weight | Float16 | [1280, 1280]
v.blk.10.attn_k.weight | Float16 | [1280, 1280]
v.blk.10.attn_v.weight | Float16 | [1280, 1280]
v.blk.10.ffn_down.bias | Float32 | [1280]
v.blk.10.ffn_down.weight | Float16 | [3420, 1280]
v.blk.10.ffn_gate.bias | Float32 | [3420]
v.blk.10.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.10.ffn_up.bias | Float32 | [3420]
v.blk.10.ffn_up.weight | Float16 | [1280, 3420]
v.blk.10.ln1.weight | Float32 | [1280]
v.blk.10.ln2.weight | Float32 | [1280]
v.blk.11.attn_out.bias | Float32 | [1280]
v.blk.11.attn_out.weight | Float16 | [1280, 1280]
v.blk.11.attn_q.bias | Float32 | [1280]
v.blk.11.attn_k.bias | Float32 | [1280]
v.blk.11.attn_v.bias | Float32 | [1280]
v.blk.11.attn_q.weight | Float16 | [1280, 1280]
v.blk.11.attn_k.weight | Float16 | [1280, 1280]
v.blk.11.attn_v.weight | Float16 | [1280, 1280]
v.blk.11.ffn_down.bias | Float32 | [1280]
v.blk.11.ffn_down.weight | Float16 | [3420, 1280]
v.blk.11.ffn_gate.bias | Float32 | [3420]
v.blk.11.ffn_gate.weight | Float16 | [1280, 3420]
v.blk.11.ffn_up.bias | Float32 | [3420]
v.blk.11.ffn_up.weight | Float16 | [1280, 3420]
v.blk.11.ln1.weight | Float32 | [1280]
v.blk.11.ln2.weight | Float32 | [1280]
v.blk.12.attn_out.bias | Float32 | [1280]
v.blk.12.attn_out.weight | Float16 | [1280, 1280]
v.blk.12.attn_q.bias | Float32 | [1280]
v.blk.12.attn_k.bias | Float32 | [1280]
v.blk.12.attn_v.bias | Float32 | [1280]
v.blk.12.attn_q.weight | Float16 | [1280, 1280]
v.blk.12.attn_k.weight | Float16 | [1280, 1280]
v.blk.12.attn_v.weight | Float16 | [1280, 1280]
v.blk.12.ffn_down.bias | Float32 | [1280]
v.blk.12.ffn_down.weight | Float16 | [3420, 1280]
v.blk.12.ffn_gate.bias | Float32 | [3420]
v.blk.12.ffn_gate.weight | Float16 | [1280, 3420]
